Mode,Congestion,Run_ID,EV_Travel_Time_sec,Civilian_Delay_sec,Collisions,Teleports_Gridlocks,Gatekeeper_Interventions
Baseline,Low,1,229.5,111.37935643564356,0,0,0
Blind Preemption,Low,1,190.5,110.74990099009902,0,0,0
Intelligent EVPS,Low,1,190.5,110.74990099009902,0,0,0
Baseline,Low,2,258.0,113.07501237623762,0,0,0
Blind Preemption,Low,2,203.0,112.02149752475248,0,0,0
Intelligent EVPS,Low,2,203.0,112.02149752475248,0,0,0
Baseline,Low,3,209.5,113.66751237623762,0,0,0
Blind Preemption,Low,3,182.5,113.13132425742573,0,0,0
Intelligent EVPS,Low,3,182.5,113.13132425742573,0,0,0
Baseline,Low,4,215.5,113.14655940594061,0,0,0
Blind Preemption,Low,4,192.5,112.24532178217822,0,0,0
Intelligent EVPS,Low,4,192.5,112.24532178217822,0,0,0
Baseline,Low,5,268.5,112.44039603960395,0,0,0
Blind Preemption,Low,5,202.5,113.78003712871288,0,0,0
Intelligent EVPS,Low,5,202.5,113.78003712871288,0,0,0
Baseline,Low,6,292.5,111.90267326732673,0,0,0
Blind Preemption,Low,6,202.5,111.3875618811881,0,0,0
Intelligent EVPS,Low,6,202.5,111.3875618811881,0,0,0
Baseline,Low,7,237.0,112.60222772277228,0,0,0
Blind Preemption,Low,7,193.0,113.00987623762377,0,0,0
Intelligent EVPS,Low,7,193.0,113.00987623762377,0,0,0
Baseline,Low,8,261.0,111.6375,0,0,0
Blind Preemption,Low,8,190.5,111.85820544554454,0,0,0
Intelligent EVPS,Low,8,190.5,111.85820544554454,0,0,0
Baseline,Low,9,267.5,112.10438118811881,0,0,0
Blind Preemption,Low,9,200.0,111.23336633663368,0,0,0
Intelligent EVPS,Low,9,200.0,111.23336633663368,0,0,0
Baseline,Low,10,236.0,112.0267202970297,0,0,0
Blind Preemption,Low,10,184.5,111.9306683168317,0,0,0
Intelligent EVPS,Low,10,184.5,111.9306683168317,0,0,0
Baseline,Medium,1,215.875,125.21120475954389,0,0,0
Blind Preemption,Medium,1,164.625,127.79373822508677,0,0,0
Intelligent EVPS,Medium,1,167.75,125.92492811105602,0,0,4
Baseline,Medium,2,233.0,123.69662369856222,0,0,0
Blind Preemption,Medium,2,156.375,126.36811601388202,0,0,0
Intelligent EVPS,Medium,2,161.75,125.97493802677242,0,0,6
Baseline,Medium,3,272.125,122.5935894893406,0,0,0
Blind Preemption,Medium,3,174.0,124.4040555280119,0,0,0
Intelligent EVPS,Medium,3,189.0,125.26338125929598,0,0,6
Baseline,Medium,4,248.25,124.19115022310362,0,0,0
Blind Preemption,Medium,4,186.0,124.47176499752106,0,0,0
Intelligent EVPS,Medium,4,186.0,124.47176499752106,0,0,3
Baseline,Medium,5,241.375,124.24141794744672,0,0,0
Blind Preemption,Medium,5,160.25,128.00808130887455,0,0,0
Intelligent EVPS,Medium,5,177.875,127.06306891422906,0,0,4
Baseline,Medium,6,213.625,122.58830937035201,0,0,0
Blind Preemption,Medium,6,169.0,126.04827962320276,0,0,0
Intelligent EVPS,Medium,6,175.0,127.2327416955875,0,0,5
Baseline,Medium,7,231.125,122.99524045612297,0,0,0
Blind Preemption,Medium,7,169.25,126.80393653941496,0,0,0
Intelligent EVPS,Medium,7,180.625,124.65290034705009,0,0,7
Baseline,Medium,8,245.25,123.55995042141794,0,0,0
Blind Preemption,Medium,8,182.875,124.47255825483391,0,0,0
Intelligent EVPS,Medium,8,201.375,125.18177987109569,0,0,9
Baseline,Medium,9,236.5,123.61001487357461,0,0,0
Blind Preemption,Medium,9,181.75,124.74636588993555,0,0,0
Intelligent EVPS,Medium,9,179.75,124.43702528507686,0,0,9
Baseline,Medium,10,239.75,123.93970748636588,0,0,0
Blind Preemption,Medium,10,165.375,125.90107585523054,0,0,0
Intelligent EVPS,Medium,10,168.25,125.20208230044621,0,0,8
Baseline,High,1,313.55555555555554,180.15405854626644,0,0,0
Blind Preemption,High,1,179.11111111111111,183.58224013892334,0,0,0
Intelligent EVPS,High,1,224.33333333333334,172.3531853138179,0,0,72
Baseline,High,2,283.8888888888889,174.24838501612504,0,0,0
Blind Preemption,High,2,200.77777777777777,183.9074795336145,0,0,0
Intelligent EVPS,High,2,231.44444444444446,178.9756611262714,0,0,47
Baseline,High,3,312.72222222222223,184.5976358223766,0,1,0
Blind Preemption,High,3,179.77777777777777,182.9964971471099,0,0,0
Intelligent EVPS,High,3,294.44444444444446,217.28577276110144,0,8,62
Baseline,High,4,304.8333333333333,178.8853733564872,0,0,0
Blind Preemption,High,4,206.77777777777777,190.43720168692633,0,0,0
Intelligent EVPS,High,4,280.5,194.06976432646985,0,4,63
Baseline,High,5,321.6666666666667,188.95002480774002,0,0,0
Blind Preemption,High,5,256.1666666666667,191.52912676755147,0,0,0
Intelligent EVPS,High,5,266.3888888888889,181.06916397916152,0,0,76
Baseline,High,6,334.05555555555554,186.19344331431407,0,0,0
Blind Preemption,High,6,204.44444444444446,192.00911932522948,0,0,0
Intelligent EVPS,High,6,262.77777777777777,185.29738278342842,0,0,72
Baseline,High,7,267.6111111111111,173.6873480525924,0,0,0
Blind Preemption,High,7,233.44444444444446,199.9443363929546,0,0,0
Intelligent EVPS,High,7,278.8333333333333,194.0377400148846,0,0,53
Baseline,High,8,275.3333333333333,180.0659712230216,0,0,0
Blind Preemption,High,8,187.33333333333334,190.99529893326718,0,0,0
Intelligent EVPS,High,8,224.22222222222223,183.39660878193996,0,0,69
Baseline,High,9,297.6111111111111,190.57627387744978,0,1,0
Blind Preemption,High,9,198.0,182.56935747953364,0,0,0
Intelligent EVPS,High,9,234.94444444444446,183.52154552220296,0,0,54
Baseline,High,10,324.05555555555554,178.7786529397172,0,0,0
Blind Preemption,High,10,182.5,197.34652939717188,0,0,0
Intelligent EVPS,High,10,315.72222222222223,217.80261225502355,0,8,34
