target_queue_length,conflicting_volume,time_since_last_phase,num_conflicting_lanes,downstream_lane_length,clearance_distance,label
0.0,0.0,5.63165915424109,2.0,69.53,7.0,0
0.0,0.0,58.45211813092084,2.0,57.5,7.0,0
0.0,0.0,27.6047507293443,5.0,232.18,17.5,0
1.0,0.0,11.500194913294358,2.0,46.18,7.0,0
0.0,0.0,33.39930827529159,22.0,80.04,77.0,0
0.0,0.0,7.275536774711556,6.0,3.58,21.0,1
0.0,0.0,16.007509718110242,2.0,135.51,7.0,0
0.0,0.0,46.52284765711573,9.0,0.2,31.5,1
0.0,0.0,5.45739167989038,2.0,171.14,7.0,0
0.0,0.0,50.65949971070358,6.0,16.76,21.0,1
0.0,0.0,45.887706954390744,3.0,60.41,10.5,0
0.0,0.0,58.585555720042585,2.0,57.12,7.0,0
0.0,0.0,10.789740266541624,28.0,20.5,98.0,1
0.0,0.0,28.21687390292228,5.0,34.77,17.5,0
0.0,0.0,15.039323087040868,12.0,71.76,42.0,0
0.0,0.0,53.84140205467858,2.0,48.15,7.0,0
0.0,0.0,13.784088774620761,2.0,55.55,7.0,0
0.0,0.0,56.713159488927936,2.0,76.53,7.0,0
0.0,0.0,16.100686124030624,15.0,12.03,52.5,1
0.0,0.0,43.47999604015676,11.0,15.83,38.5,1
0.0,0.0,22.445358999258033,2.0,118.72,7.0,0
0.0,0.0,35.287876373368874,5.0,46.07,17.5,0
0.0,0.0,59.256059082679656,8.0,24.85,28.0,1
0.0,0.0,31.04883443057767,25.0,13.09,87.5,1
0.0,0.0,22.507232655941515,2.0,164.48,7.0,0
0.0,0.0,53.47112789884399,2.0,65.93,7.0,0
0.0,0.0,34.7038146948582,2.0,63.78,7.0,0
0.0,0.0,19.402739629294643,2.0,26.14,7.0,1
0.0,0.0,25.726319757598397,2.0,76.43,7.0,0
0.0,0.0,56.433469913717765,2.0,66.67,7.0,0
0.0,0.0,51.585894409830615,5.0,113.2,17.5,0
0.0,0.0,43.70350155201698,2.0,60.22,7.0,0
0.0,0.0,46.93010789793079,12.0,80.17,42.0,0
0.0,0.0,21.52355027486901,14.0,56.22,49.0,0
0.0,0.0,28.349819150077163,12.0,47.82,42.0,0
1.0,0.0,32.91756946490454,2.0,142.14,7.0,0
0.0,0.0,53.0264785583904,7.0,25.95,24.5,1
0.0,0.0,47.51915499266125,3.0,154.02,10.5,0
0.0,0.0,22.242290161233104,11.0,36.91,38.5,1
0.0,0.0,14.962415125469448,2.0,265.06,7.0,0
0.0,0.0,4.371054923938505,2.0,66.27,7.0,0
0.0,0.0,2.2005109675502106,13.0,0.2,45.5,1
0.0,0.0,21.36170525362927,12.0,30.14,42.0,1
0.0,0.0,18.106777616328312,12.0,29.45,42.0,1
0.0,0.0,50.39315193413939,19.0,32.39,66.5,1
1.0,0.0,19.334965664691666,2.0,60.54,7.0,0
0.0,2.0,35.10575317104274,9.0,19.15,31.5,1
0.0,0.0,38.891069479122336,3.0,55.57,10.5,0
0.0,0.0,57.34352186108892,8.0,24.82,28.0,1
0.0,0.0,47.44032338833983,8.0,21.41,28.0,1
0.0,0.0,37.867274622623285,2.0,40.16,7.0,1
0.0,10.0,5.2510462317256,34.0,23.21,119.0,1
0.0,0.0,12.163704121260253,5.0,38.97,17.5,0
0.0,1.0,16.75489464043083,28.0,9.13,98.0,1
0.0,1.0,12.62269859448589,9.0,19.15,31.5,1
0.0,0.0,49.42747861923577,3.0,47.01,10.5,1
0.0,0.0,4.267635050417747,2.0,50.19,7.0,0
0.0,0.0,14.700216286748029,9.0,102.88,31.5,0
0.0,0.0,15.114041688375869,18.0,67.05,63.0,0
0.0,0.0,49.84179818462382,5.0,102.58,17.5,0
0.0,0.0,30.75889512204361,10.0,86.16,35.0,0
0.0,0.0,59.13789477761126,5.0,61.18,17.5,0
0.0,0.0,56.33185685605191,6.0,90.42,21.0,0
0.0,0.0,49.16891754899497,6.0,41.58,21.0,0
0.0,0.0,5.947162619225586,3.0,40.46,10.5,0
0.0,0.0,56.45884805534441,16.0,31.33,56.0,0
0.0,0.0,56.216011824564745,2.0,48.97,7.0,0
0.0,0.0,48.93757550613155,12.0,4.12,42.0,1
1.0,0.0,12.169567674461273,18.0,47.56,63.0,0
0.0,0.0,53.79841918280796,8.0,84.1,28.0,0
0.0,0.0,23.809663044439638,8.0,137.4,28.0,0
0.0,0.0,15.22208301337872,5.0,6.57,17.5,1
0.0,0.0,31.325878735498698,23.0,61.59,80.5,0
0.0,0.0,20.865034816766954,21.0,23.18,73.5,1
0.0,0.0,33.81137255279181,2.0,105.49,7.0,0
1.0,2.0,54.7193692483981,7.0,157.97,24.5,0
0.0,6.0,12.318958897904315,12.0,30.66,42.0,1
0.0,0.0,14.301901355926015,6.0,19.24,21.0,1
0.0,0.0,57.8893127520122,5.0,19.17,17.5,1
1.0,0.0,18.883209516167867,12.0,82.5,42.0,0
0.0,0.0,42.59691565636919,9.0,58.99,31.5,0
0.0,0.0,34.80479031502205,3.0,55.57,10.5,0
0.0,0.0,18.835004660186897,5.0,53.68,17.5,0
0.0,0.0,35.267967273545615,5.0,1.73,17.5,1
1.0,0.0,9.089393531585422,2.0,105.05,7.0,0
0.0,0.0,27.637607003331475,3.0,92.28,10.5,0
0.0,1.0,40.1890536848635,5.0,34.68,17.5,0
0.0,3.0,38.66437037307497,10.0,41.22,35.0,1
0.0,0.0,22.58339582408201,29.0,41.17,101.5,0
0.0,3.0,45.09450973842845,23.0,31.59,80.5,1
0.0,0.0,3.293688983925753,7.0,48.4,24.5,0
0.0,0.0,18.30411119829337,5.0,15.08,17.5,1
0.0,0.0,32.562724847612614,7.0,222.22,24.5,0
0.0,8.0,43.69927434790443,34.0,23.21,119.0,1
0.0,0.0,50.37022918959133,2.0,105.03,7.0,1
0.0,0.0,46.11485596121149,9.0,8.76,31.5,1
0.0,4.0,45.237299454488515,7.0,166.61,24.5,1
0.0,0.0,22.355679354189228,12.0,0.2,42.0,1
0.0,0.0,54.56220088300088,3.0,97.24,10.5,1
1.0,0.0,24.68254376600324,7.0,68.22,24.5,1
0.0,0.0,34.88223469188248,2.0,117.89,7.0,0
0.0,0.0,24.039482709800374,2.0,199.31,7.0,0
0.0,0.0,20.695494366454692,3.0,54.83,10.5,0
0.0,3.0,57.086205532656344,38.0,35.82,133.0,0
0.0,0.0,39.621028388751355,7.0,29.97,24.5,1
0.0,0.0,18.778874025276288,5.0,103.54,17.5,0
0.0,0.0,24.06966458937884,6.0,22.96,21.0,1
0.0,0.0,34.57367007502696,9.0,54.66,31.5,1
0.0,0.0,57.53158734874739,9.0,54.66,31.5,1
0.0,0.0,19.482886786512363,8.0,19.56,28.0,1
2.0,0.0,35.73859869962559,2.0,49.54,7.0,0
