step,time,max_queue,avg_speed,total_waiting_time,vehicle_count
0,1767763905.9339747,1,0.0,0.0,20
1,1767763906.2111793,0,1.6595797542254442,0.0,20
2,1767763906.498144,0,3.32003067421657,0.0,20
3,1767763906.7724757,1,4.589902449131899,0.0,22
4,1767763907.0527081,0,6.3266352957687895,0.0,22
5,1767763907.3521297,0,8.112579710257249,0.0,22
6,1767763907.5758495,0,9.85252110028548,0.0,22
7,1767763907.8250978,0,11.024008821995453,0.0,22
8,1767763908.067736,1,10.827993288908466,0.0,24
9,1767763908.2774417,0,11.527773634156377,0.0,24
10,1767763908.5752106,0,11.924828862978687,0.0,24
11,1767763908.812314,1,11.330926025235344,0.0,26
12,1767763909.0879135,1,10.221181497268596,0.0,30
13,1767763909.3671217,1,10.155944844716489,0.0,32
14,1767763909.654457,1,10.32687248496999,0.0,34
15,1767763909.994737,1,10.636085848614707,0.0,35
16,1767763910.418082,1,10.82817481068351,0.0,36
17,1767763910.7409294,0,11.5358001454278,0.0,36
18,1767763911.0400736,0,12.086461197928791,0.0,36
19,1767763911.3613806,0,12.261296515742538,0.0,36
20,1767763911.6787856,0,11.83331106185814,0.0,36
21,1767763912.000758,1,10.964388090750646,0.0,37
22,1767763912.2831593,1,10.138849465150864,1.0,38
23,1767763912.6018069,1,8.873060065035416,3.0,41
24,1767763912.9262645,1,7.958021252454423,8.0,44
25,1767763913.2678843,1,7.812675087569412,15.0,44
26,1767763913.660634,2,7.677572200484765,25.0,46
27,1767763914.0190105,2,7.980879194756488,37.0,46
28,1767763914.395085,2,8.016124525691604,49.0,48
29,1767763914.7009194,2,8.352882995703643,61.0,48
30,1767763915.0395977,3,8.411727786025404,74.0,50
31,1767763915.3855393,2,8.486583573728131,87.0,51
32,1767763915.6795125,2,8.399873160793327,100.0,52
33,1767763915.9749289,2,8.116725483510292,114.0,54
34,1767763916.290692,2,7.9052223535453505,128.0,56
35,1767763916.650489,2,7.936893989757869,142.0,56
36,1767763917.0279438,3,7.579130193794824,157.0,59
37,1767763917.3966937,2,7.817476858291609,173.0,59
38,1767763917.7054799,2,7.959855672343271,191.0,60
39,1767763918.0067308,2,7.879436566674409,211.0,62
40,1767763918.2917852,3,7.785543234526963,231.0,64
41,1767763918.682914,2,7.899096893728634,251.0,64
42,1767763919.0661833,2,7.5446848522502385,272.0,67
43,1767763919.416671,2,7.681813894213775,293.0,67
44,1767763919.7383828,2,7.4682909864212235,314.0,68
45,1767763920.0722423,2,7.368230974103543,93.0,71
46,1767763920.4372559,1,7.7987698260472795,6.0,71
47,1767763920.8123586,0,8.398143562284474,0.0,71
48,1767763921.1958687,1,8.496788047895706,2.0,74
49,1767763921.5816188,1,9.03783269070833,5.0,74
50,1767763921.9030352,1,9.58434986481421,10.0,74
51,1767763922.2574437,1,9.93829674422228,16.0,74
52,1767763922.6740851,1,9.784197347283639,24.0,77
53,1767763923.0380847,1,9.94787770907556,33.0,78
54,1767763923.4106026,1,10.143458469837407,42.0,78
55,1767763923.732245,1,10.008078687077026,52.0,79
56,1767763924.135175,1,9.506423877924759,63.0,82
57,1767763924.5926254,1,9.14854124931994,75.0,84
58,1767763924.9378932,1,9.178920653450973,88.0,84
59,1767763925.3933809,1,9.142837189880456,103.0,84
60,1767763925.7328358,1,8.631425662506501,122.0,88
61,1767763926.2006104,1,8.473894652125974,142.0,88
62,1767763926.620759,1,8.192353731968119,163.0,89
63,1767763926.938348,2,8.181185310467361,187.0,89
64,1767763927.2775962,2,8.102884357324042,215.0,90
65,1767763927.6532295,2,7.956131831040355,245.0,92
66,1767763928.0217948,2,7.808636456338718,275.0,94
67,1767763928.3885098,2,7.868882287040457,305.0,94
68,1767763928.7165086,2,7.709790947565403,337.0,97
69,1767763929.0316527,2,7.79977896411173,369.0,97
70,1767763929.4192107,2,7.77870782820377,402.0,99
71,1767763929.7808306,2,7.891969246174234,436.0,99
72,1767763930.1607087,2,7.481456107316238,470.0,105
73,1767763930.5054364,2,7.608418263409626,504.0,106
74,1767763930.831581,2,7.685871832570416,539.0,106
75,1767763931.1990132,2,7.612581109519857,575.0,107
76,1767763931.6184647,2,7.729786438978131,612.0,107
77,1767763931.9991255,2,7.715355932887636,650.0,108
78,1767763932.3883495,3,7.595702926096348,679.0,110
79,1767763932.7031384,2,7.6006686290307846,718.0,112
80,1767763933.146099,3,7.627769511765473,757.0,114
81,1767763933.6305878,2,7.6665640172636715,797.0,114
82,1767763933.9510114,2,7.756963881791283,837.0,114
83,1767763934.2870293,2,7.763781620356832,877.0,116
84,1767763934.6426325,3,7.6085887165823065,918.0,120
85,1767763934.9850478,2,7.68348374552575,959.0,120
86,1767763935.4374745,3,7.790093426349579,1001.0,120
87,1767763935.7863314,3,7.8503353346027716,1044.0,120
88,1767763936.1363895,3,7.598200610137595,1088.0,122
89,1767763936.5121584,3,7.3456387438262905,1132.0,122
90,1767763936.9061172,2,6.873740081893478,220.0,130
91,1767763937.3492935,1,6.963868059416779,13.0,130
92,1767763937.7052553,2,7.14601590306888,10.0,130
93,1767763938.0546021,2,7.41719701136484,24.0,131
94,1767763938.3932867,2,7.793713299626897,43.0,131
95,1767763938.7670064,2,8.291711087951645,63.0,131
96,1767763939.1464553,2,8.604311848661833,91.0,134
97,1767763939.5461,2,8.794170029646885,122.0,136
98,1767763939.87376,2,8.803989190575557,154.0,137
99,1767763940.2083879,3,8.69681643327155,189.0,138
100,1767763940.64143,3,8.619545867611198,226.0,137
101,1767763941.0266242,3,8.623852413329859,265.0,137
102,1767763941.3869328,3,8.498127808169112,306.0,138
103,1767763941.7028885,3,8.264638787180745,348.0,140
104,1767763942.0532258,3,8.152369037419112,392.0,140
105,1767763942.4260178,4,8.0069981419327,438.0,141
106,1767763942.7762723,4,7.865660585851549,485.0,139
107,1767763943.1153638,4,7.887848907011671,533.0,138
108,1767763943.4550602,4,7.673190560178923,585.0,140
109,1767763943.7743835,4,7.726974197277278,637.0,140
110,1767763944.1783154,4,7.603926500882717,691.0,141
111,1767763944.5890899,4,7.325370650570126,745.0,141
112,1767763944.9231558,4,7.150111185215521,800.0,141
113,1767763945.2538762,4,6.9878279817661975,856.0,144
114,1767763945.6350756,4,6.694255344375477,916.0,143
115,1767763946.009491,4,6.6502719382943365,978.0,142
116,1767763946.4003546,4,6.530788713923098,1040.0,144
117,1767763946.7112617,4,6.707226646416734,1104.0,144
